Percent Change,High Percent,Low Percent,Day,Month,Year,DayOfWeek,Y
0.944906693,1.004596908,0.856670138,8,1,2,0,0.92284466
0.92284466,1.023263578,0.975774896,9,1,2,1,0.986799054
0.986799054,1.01806002,0.9211422,10,1,2,2,1.017897622
1.018147985,1.004147089,0.867186825,11,1,2,3,0.899559372
0.899147321,1.04783727,0.991189427,12,1,2,4,1.026424327
1.027111729,1.053590961,0.999438687,13,1,2,5,1.028511802
1.028490213,1.010789328,0.916232271,14,1,2,6,0.958249078
0.958270069,1.051191997,0.983929028,15,1,2,0,1.000146033
1.000649848,1.000481597,0.733392195,16,1,2,1,0.829076793
0.828763025,1.036266145,0.816300836,17,1,2,2,0.985437192
0.986291239,1.071656847,0.951633637,18,1,2,3,1.003874308
1.002463846,1.066217853,0.970782575,19,1,2,4,1.031221059
1.031132008,1.129801713,0.998972295,20,1,2,5,1.110517134
1.110361683,1.000241112,0.868352895,21,1,2,6,0.901828562
0.902030785,1.032196594,0.874050442,22,1,2,0,0.936822591
0.937184738,1.052350722,0.925255313,23,1,2,1,1.003146564
1.002796945,1.059645485,0.971108501,24,1,2,2,1.050727563
1.049589886,1.026311419,0.96013077,25,1,2,3,0.979291777
0.979300518,1.040363828,0.927368318,26,1,2,4,0.992412814
0.992403888,1.045304911,0.981147688,27,1,2,5,1.03143551
1.031768304,1.055922658,0.996696074,28,1,2,6,1.02823593
1.028218495,1.00790172,0.942695572,29,1,2,0,0.953361198
0.953335764,1.002908088,0.882004536,30,1,2,1,0.904086442
0.904113122,1.022761477,0.958283741,31,1,2,2,1.009747893
1.009826584,1.003584579,0.856129824,1,2,2,3,0.894303637
0.894177008,1.002352992,0.862306368,2,2,2,4,0.968779276
0.968909998,1.068863555,0.927471218,3,2,2,5,1.038979583
1.039024555,1.01521398,0.858313044,4,2,2,6,0.889704052
0.889552562,1.019754768,0.809154827,5,2,2,0,0.844017614
0.844114928,1.137895753,0.864150563,6,2,2,1,1.109794936
1.108728546,1.109529751,0.935376537,7,2,2,2,0.987119499
0.987171489,1.1178128,1,8,2,2,3,1.074929889
1.074850891,1.070067127,0.953574403,9,2,2,4,1.065681807
1.06537557,1.042461454,0.939624941,10,2,2,5,0.9841675
0.984178998,1.000525719,0.916352209,11,2,2,6,0.944180287
0.944378892,1.111497353,1,12,2,2,0,1.101427582
1.101761591,1.004098269,0.940693,13,2,2,1,0.958792751
0.959174508,1.112073608,0.99988294,14,2,2,2,1.109299277
1.109217334,1.077166617,0.986586601,15,2,2,3,1.059278568
1.058645363,1.026217938,0.967740971,16,2,2,4,1.014694008
1.014554445,1.090259696,0.989545361,17,2,2,5,1.088058719
1.08807837,1.017871172,0.915430254,18,2,2,6,0.939053794
0.938855125,1.08213262,0.993093896,19,2,2,0,1.074331993
1.074360849,1.05566846,0.99554151,20,2,2,1,1.006177426
1.006374388,1.004341289,0.912044409,21,2,2,2,0.931686965
0.931428978,1.043944184,0.930640586,22,2,2,3,0.939981471
0.93987641,1.058787066,0.975326708,23,2,2,4,1.033514217
1.032843526,1.033678349,0.924309805,24,2,2,5,0.954790531
0.954672465,1.016201008,0.961558677,25,2,2,6,0.987849244
0.988436685,1.082109083,0.98116965,26,2,2,0,1.072381111
1.072662628,1.056319135,0.98373802,27,2,2,1,1.02980229
1.028830265,1.045944976,0.973451495,28,2,2,2,0.976333094
0.976446468,1.068959178,0.991640139,1,3,2,3,1.055093807
1.055093807,1.024072631,0.979146224,2,3,2,4,0.992957036
0.992480169,1.055273735,0.885701086,3,3,2,5,1.053573574
