Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
"5,759.30","5,677.40","5,795.30","5,576.10",61.36,16,10,2017,0,"5,759.30"
"5,598.60","5,759.30","5,773.30","5,521.10",65.64,17,10,2017,1,"5,598.60"
"5,575.80","5,598.60","5,601.30","5,114.90",122.02,18,10,2017,2,"5,576.70"
"5,698.60","5,576.70","5,737.40","5,517.60",83.06,19,10,2017,3,"5,698.60"
"5,993.10","5,698.60","6,075.30","5,611.40",123.86,20,10,2017,4,"5,993.10"
"6,006.60","5,993.10","6,187.20","5,874.50",112.94,21,10,2017,5,"6,006.60"
"5,982.90","6,006.60","6,070.60","5,723.00",105.03,22,10,2017,6,"5,982.90"
"5,903.60","5,982.90","6,049.00","5,644.20",137.14,23,10,2017,0,"5,903.60"
"5,513.10","5,903.60","5,904.60","5,463.40",143.74,24,10,2017,1,"5,513.10"
"5,734.00","5,513.10","5,748.00","5,375.60",105.84,25,10,2017,2,"5,734.00"
"5,887.60","5,734.00","5,970.40","5,689.90",93.68,26,10,2017,3,"5,887.60"
"5,764.60","5,887.60","5,997.80","5,692.30",83.93,27,10,2017,4,"5,764.60"
"5,726.60","5,764.60","5,871.00","5,654.80",53.23,28,10,2017,5,"5,726.60"
"6,147.50","5,726.60","6,295.40","5,679.40",163.06,29,10,2017,6,"6,147.70"
"6,124.30","6,147.70","6,226.20","6,019.00",78.62,30,10,2017,0,"6,124.30"
"6,451.20","6,124.30","6,467.20","6,090.80",101.25,31,10,2017,1,"6,449.10"
"6,737.80","6,449.10","6,738.70","6,355.00",133.19,1,11,2017,2,"6,737.80"
"7,024.80","6,737.80","7,339.90","6,737.80",238.8,2,11,2017,3,"7,024.80"
"7,152.10","7,024.80","7,445.60","6,938.90",154.89,3,11,2017,4,"7,147.00"
"7,363.80","7,147.00","7,492.20","6,957.80",106.6,4,11,2017,5,"7,363.80"
"7,389.50","7,363.80","7,599.40","7,284.30",105.73,5,11,2017,6,"7,389.50"
"6,959.20","7,389.50","7,429.70","6,934.70",159.69,6,11,2017,0,"6,959.30"
"7,102.80","6,959.30","7,222.40","6,957.80",101.05,7,11,2017,1,"7,102.20"
